parentID,subcourtID,tokenStaked
,0,188663194.5727855
0,1,18322410.72510864
0,10,960997.3993773325
10,11,290767.4192817182
9,12,264500.0
6,13,58005.20616615378
6,14,3406.304318025922
6,15,3900.0
6,16,10600.0
6,17,46038.77953188309
6,18,3900.0
6,19,9450.0
1,2,4567132.675079698
6,20,3900.0
6,21,56350.42264668244
0,22,224130.93436574025
0,23,5021624.2105406495
2,3,3125170.1818181816
1,4,9413360.66776345
0,5,497916.25624061894
0,6,975543.8426943837
0,7,868959.5743920088
0,8,9219876.247180238
0,9,2900449.5466792826
